date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:49	163422/163422	---M-Z	200	added ('OK')	text/html	etag:%2227e5e-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-popover-tooltips.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-popover-tooltips.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:49	132083/132083	---M-Z	200	added ('OK')	text/html	etag:%22203f3-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-progress.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-progress.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:49	125371/125371	---M-Z	200	added ('OK')	text/html	etag:%221e9bb-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-spinners.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-spinners.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:49	168506/168506	---M-Z	200	added ('OK')	text/html	etag:%222923a-6053ab30be665-gzip%22	https://mannatthemes.com/robotech/default/ui-tabs-accordions.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-tabs-accordions.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:50	147646/147646	---M-Z	200	added ('OK')	text/html	etag:%22240be-6053ab30be665-gzip%22	https://mannatthemes.com/robotech/default/ui-typography.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-typography.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:50	117423/117423	---M-Z	200	added ('OK')	text/html	etag:%221caaf-6053ab30be665-gzip%22	https://mannatthemes.com/robotech/default/ui-videos.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-videos.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:50	181026/181026	---M-Z	200	added ('OK')	text/html	etag:%222c322-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-animation.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-animation.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:51	120502/120502	---M-Z	200	added ('OK')	text/html	etag:%221d6b6-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-clipboard.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-clipboard.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:51	163744/163744	---M-Z	200	added ('OK')	text/html	etag:%2227fa0-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-dragula.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-dragula.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:51	115822/115822	---M-Z	200	added ('OK')	text/html	etag:%221c46e-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-highlight.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-highlight.html	(from https://mannatthemes.com/robotech/default/index.html)
